AGE GROUP (YEARS),Cancer,Detected,NUM_WOMEN,Period,Screen,STATE
40–49,Interval,0-12,0,2004-2006,1,ACT
40–49,Interval,0-12,33,2004-2006,1,NSW
40–49,Interval,0-12,0,2004-2006,1,NT
40–49,Interval,0-12,26,2004-2006,1,QLD
40–49,Interval,0-12,12,2004-2006,1,SA
40–49,Interval,0-12,5,2004-2006,1,TAS
40–49,Interval,0-12,25,2004-2006,1,VIC
40–49,Interval,0-12,8,2004-2006,1,WA
40–49,Interval,0-12,46,2004-2006,2+,NSW
40–49,Interval,0-12,0,2004-2006,2+,NT
40–49,Interval,0-12,66,2004-2006,2+,QLD
40–49,Interval,0-12,9,2004-2006,2+,SA
40–49,Interval,0-12,5,2004-2006,2+,TAS
40–49,Interval,0-12,18,2004-2006,2+,VIC
40–49,Interval,0-12,19,2004-2006,2+,WA
40–49,Interval,0-12,1,2005-2007,1,ACT
40–49,Interval,0-12,32,2005-2007,1,NSW
40–49,Interval,0-12,0,2005-2007,1,NT
40–49,Interval,0-12,35,2005-2007,1,QLD
40–49,Interval,0-12,10,2005-2007,1,SA
40–49,Interval,0-12,4,2005-2007,1,TAS
40–49,Interval,0-12,21,2005-2007,1,VIC
40–49,Interval,0-12,6,2005-2007,1,WA
40–49,Interval,0-12,1,2005-2007,2+,ACT
40–49,Interval,0-12,34,2005-2007,2+,NSW
40–49,Interval,0-12,1,2005-2007,2+,NT
40–49,Interval,0-12,71,2005-2007,2+,QLD
40–49,Interval,0-12,12,2005-2007,2+,SA
40–49,Interval,0-12,5,2005-2007,2+,TAS
40–49,Interval,0-12,19,2005-2007,2+,VIC
40–49,Interval,0-12,19,2005-2007,2+,WA
40–49,Interval,0-12,1,2006-2008,1,ACT
40–49,Interval,0-12,38,2006-2008,1,NSW
40–49,Interval,0-12,0,2006-2008,1,NT
40–49,Interval,0-12,42,2006-2008,1,QLD
40–49,Interval,0-12,11,2006-2008,1,SA
40–49,Interval,0-12,2,2006-2008,1,TAS
40–49,Interval,0-12,12,2006-2008,1,VIC
40–49,Interval,0-12,10,2006-2008,1,WA
40–49,Interval,0-12,1,2006-2008,2+,ACT
40–49,Interval,0-12,35,2006-2008,2+,NSW
40–49,Interval,0-12,3,2006-2008,2+,NT
40–49,Interval,0-12,74,2006-2008,2+,QLD
40–49,Interval,0-12,14,2006-2008,2+,SA
40–49,Interval,0-12,4,2006-2008,2+,TAS
40–49,Interval,0-12,18,2006-2008,2+,VIC
40–49,Interval,0-12,15,2006-2008,2+,WA
40–49,Interval,0-12,2,2007-2009,1,ACT
40–49,Interval,0-12,42,2007-2009,1,NSW
40–49,Interval,0-12,0,2007-2009,1,NT
40–49,Interval,0-12,39,2007-2009,1,QLD
40–49,Interval,0-12,7,2007-2009,1,SA
40–49,Interval,0-12,0,2007-2009,1,TAS
40–49,Interval,0-12,21,2007-2009,1,VIC
40–49,Interval,0-12,12,2007-2009,1,WA
40–49,Interval,0-12,1,2007-2009,2+,ACT
40–49,Interval,0-12,27,2007-2009,2+,NSW
40–49,Interval,0-12,5,2007-2009,2+,NT
40–49,Interval,0-12,77,2007-2009,2+,QLD
40–49,Interval,0-12,20,2007-2009,2+,SA
40–49,Interval,0-12,7,2007-2009,2+,TAS
40–49,Interval,0-12,19,2007-2009,2+,VIC
40–49,Interval,0-12,16,2007-2009,2+,WA
40–49,Interval,0-12,4,2008-2010,1,ACT
40–49,Interval,0-12,34,2008-2010,1,NSW
40–49,Interval,0-12,0,2008-2010,1,NT
40–49,Interval,0-12,34,2008-2010,1,QLD
